Model,Family,Platform,Launch_Date,CPU_Core,Threads,Base_Clock_GHz,Boost_Clock_GHz,L1_Cache,L2_Cache,L3_Cache,Unlocked_for_Overclocking,Chip_lithography,CPU_Socket,PCI_Express_Version,Default_TDP,Max._Operating_Temperature_(Tjmax),System_Memory_Type,Graphics_Model
A6-9220C,AMD A-Series Processors,Laptop,,2.0,2.0,1.8GHz,Up to 2.7GHz,160KB,1MB,,No,28nm,FT4,,6W,90°C,,Radeon R5 Graphics
A6-9210,AMD A-Series Processors,Laptop,Q216,2.0,,2.4GHz,Up to 2.8GHz,,1MB,,No,28nm,,,15W,90°C,DDR4,AMD Radeon R4 Graphics
A4-9125,AMD A-Series Processors,Laptop,2Q18,2.0,,2.3GHz,Up to 2.6GHz,,1MB,,No,28nm,,PCIe® 3.0,15W,90°C,,AMD Radeon R3 Graphics
A4-9120,AMD A-Series Processors,Laptop,Q217,2.0,,2.2GHz,Up to 2.5GHz,,1MB,,No,28nm,,PCIe® 3.0,15W,90°C,DDR4,AMD Radeon R3 Graphics
A4-9120C,AMD A-Series Processors,Laptop,,2.0,2.0,1.6GHz,Up to 2.4GHz,160KB,1MB,,No,28nm,FT4,,6W,90°C,,Radeon R4 Graphics
PRO-A12-9800,AMD PRO A-Series Processors,Desktop,10/03/2016,4.0,,3.8GHz,Up to 4.2GHz,,2MB,,No,28nm,AM4,PCIe® 3.0,65W,90°C,DDR4,R7
PRO-A12-9800E,AMD PRO A-Series Processors,Desktop,10/03/2016,4.0,,3.1GHz,Up to 3.8GHz,,2MB,,No,28nm,AM4,PCIe® 3.0,35W,90°C,DDR4,R7
PRO-A10-9700,AMD PRO A-Series Processors,Desktop,10/03/2016,4.0,,3.5GHz,Up to 3.8GHz,,2MB,,No,28nm,AM4,PCIe® 3.0,65W,90°C,DDR4,R7
PRO-A10-9700E,AMD PRO A-Series Processors,Desktop,10/03/2016,4.0,,3.0GHz,Up to 3.5GHz,,2MB,,No,28nm,AM4,PCIe® 3.0,35W,90°C,DDR4,R7
PRO-A8-9600,AMD PRO A-Series Processors,Desktop,10/03/2016,4.0,,3.1GHz,Up to 3.4GHz,,2MB,,No,28nm,AM4,PCIe® 3.0,65W,90°C,DDR4,R7
PRO-A6-9500,AMD PRO A-Series Processors,Desktop,10/03/2016,2.0,,3.5GHz,Up to 3.8GHz,,1MB,,No,28nm,AM4,PCIe® 3.0,65W,90°C,DDR4,R5
PRO-A6-9500E,AMD PRO A-Series Processors,Desktop,10/03/2016,2.0,,3.0GHz,Up to 3.4GHz,,1MB,,No,28nm,AM4,PCIe® 3.0,35W,90°C,DDR4,R5
PRO-A12-9830B,AMD PRO A-Series Processors,Laptop,10/24/2016,4.0,,3.0GHz,Up to 3.7GHz,,2MB,,No,28nm,FP4,,35W,90°C,DDR4,R7
PRO-A12-9800B,AMD PRO A-Series Processors,Laptop,10/24/2016,4.0,,2.7GHz,Up to 3.6GHz,,2MB,,No,28nm,FP4,,15W,90°C,DDR4,R7
PRO-A10-9730B,AMD PRO A-Series Processors,Laptop,10/24/2016,4.0,,2.8GHz,Up to 3.5GHz,,2MB,,No,28nm,FP4,,35W,90°C,DDR4,R7
PRO-A10-9700B,AMD PRO A-Series Processors,Laptop,10/24/2016,4.0,,2.5GHz,Up to 3.4GHz,,2MB,,No,28nm,FP4,,15W,90°C,DDR4,R7
PRO-A8-9630B,AMD PRO A-Series Processors,Laptop,10/24/2016,4.0,,2.6GHz,Up to 3.3GHz,,2MB,,No,28nm,FP4,,35W,90°C,DDR4,R5
PRO-A8-9600B,AMD PRO A-Series Processors,Laptop,10/24/2016,4.0,,2.4GHz,Up to 3.3GHz,,2MB,,No,28nm,FP4,,15W,90°C,DDR4,R5
PRO-A6-9500B,AMD PRO A-Series Processors,Laptop,10/24/2016,2.0,,2.3GHz,Up to 3.2GHz,,1MB,,No,28nm,FP4,,15W,90°C,DDR4,R5
FX-9830P,AMD FX-Series Processors,Laptop,Q216,4.0,,3.0GHz,Up to 3.7GHz,,2MB,,No,28nm,FP4,,35W,90°C,DDR4,AMD Radeon R7 Graphics
FX-9800P,AMD FX-Series Processors,Laptop,Q216,4.0,,2.7GHz,Up to 3.6GHz,,2MB,,No,28nm,FP4,,15W,90°C,DDR4,AMD Radeon R7 Graphics
E2-9010,AMD E-Series Processors,Laptop,Q217,2.0,,200MHz,Up to 2.2GHz,,1MB,,No,28nm,,PCIe® 3.0 x8,15W,90°C,DDR4,AMD Radeon R5 Graphics
A10-8700P,AMD A-Series Processors,Laptop,,4.0,4.0,1.8GHz,Up to 3.2GHz,,2MB,,No,28nm,FP4,,15W,90°C,DDR3,AMD Radeon R6 Graphics
A8-8600P,AMD A-Series Processors,Laptop,,4.0,4.0,1.6GHz,Up to 3.0GHz,,2MB,,No,28nm,FP4,,15W,90°C,DDR3,AMD Radeon R6 Graphics
PRO-A12-8870,AMD PRO A-Series Processors,Desktop,3Q 2016,4.0,,3.7GHz,Up to 4.2GHz,,2MB,,No,28nm,AM4,PCIe® 3.0,65W,,DDR4,R7
PRO-A12-8870E,AMD PRO A-Series Processors,Desktop,,4.0,,2.9GHz,Up to 3.8GHz,,2MB,,No,28nm,AM4,PCIe® 3.0,35W,,DDR4,R7
PRO-A10-8850B,AMD PRO A-Series Processors,Desktop,,4.0,4.0,3.9GHz,Up to 4.1GHz,,4MB,,No,28nm,FM2+,,95W,72.40°C,DDR3,AMD Radeon R7 Graphics
PRO-A10-8770,AMD PRO A-Series Processors,Desktop,3Q 2016,4.0,,3.5GHz,Up to 3.8GHz,,2MB,,No,28nm,AM4,PCIe® 3.0,65W,,DDR4,R7
PRO-A10-8770E,AMD PRO A-Series Processors,Desktop,3Q 2016,4.0,,2.8GHz,Up to 3.5GHz,,2MB,,No,28nm,AM4,PCIe® 3.0,35W,,DDR4,R7
PRO-A10-8750B,AMD PRO A-Series Processors,Desktop,,4.0,4.0,3.6GHz,Up to 4.0GHz,,4MB,,No,28nm,FM2+,,65W,71.30°C,DDR3,AMD Radeon R7 Graphics
PRO-A8-8650B,AMD PRO A-Series Processors,Desktop,,4.0,4.0,3.2GHz,Up to 3.9GHz,,4MB,,No,28nm,FM2+,,65W,71.30°C,DDR3,AMD Radeon R7 Graphics
PRO-A6-8570,AMD PRO A-Series Processors,Desktop,,2.0,,3.5GHz,Up to 3.8GHz,,1MB,,No,28nm,AM4,PCIe® 3.0,65W,,DDR4,R5
PRO-A6-8570E,AMD PRO A-Series Processors,Desktop,,2.0,,3.0GHz,Up to 3.4GHz,,1MB,,No,28nm,AM4,PCIe® 3.0,35W,,DDR4,R5
PRO-A6-8550B,AMD PRO A-Series Processors,Desktop,,2.0,2.0,3.7GHz,Up to 4.0GHz,,1MB,,No,28nm,FM2+,,65W,71.30°C,DDR3,AMD Radeon R5 Graphics
PRO-A4-8350B,AMD PRO A-Series Processors,Desktop,,2.0,2.0,3.5GHz,Up to 3.9GHz,,1MB,,No,28nm,FM2+,,65W,71.30°C,DDR3,AMD Radeon R5 Graphics
PRO-A12-8830B,AMD PRO A-Series Processors,Laptop,Q3 2016,4.0,,2.5GHz,Up to 3.4GHz,,2MB,,No,28nm,FP4,,,,DDR4,R7
PRO-A12-8800B,AMD PRO A-Series Processors,Laptop,,4.0,4.0,2.1GHz,Up to 3.4GHz,,2MB,,No,28nm,FP4,,15W,,DDR3/DDR3L,AMD Radeon R7 Graphics
PRO-A10-8730B,AMD PRO A-Series Processors,Laptop,Q3 2016,4.0,,2.4GHz,Up to 3.3GHz,,2MB,,No,28nm,FP4,,,,DDR4,R5
PRO-A10-8700B,AMD PRO A-Series Processors,Laptop,,4.0,4.0,1.8GHz,Up to 3.2GHz,,2MB,,No,28nm,FP4,,15W,,DDR3/DDR3L,AMD Radeon R6 Graphics
PRO-A8-8600B,AMD PRO A-Series Processors,Laptop,,4.0,4.0,1.6GHz,Up to 3.0GHz,,2MB,,No,28nm,FP4,,15W,,DDR3/DDR3L,AMD Radeon R6 Graphics
PRO-A6-8530B,AMD PRO A-Series Processors,Laptop,Q3 2016,2.0,,2.3GHz,Up to 3.2GHz,,1MB,,No,28nm,FP4,,,,DDR4,R5
PRO-A6-8500B,AMD PRO A-Series Processors,Laptop,,2.0,4.0,1.6GHz,Up to 3.0GHz,,1MB,,No,28nm,FP4,,15W,,DDR3/DDR3L,AMD Radeon R5 Graphics
FX-8800P,AMD FX-Series Processors,Laptop,,4.0,4.0,2.1GHz,Up to 3.4GHz,,2MB,,No,28nm,FP4,,15W,90°C,DDR3,AMD Radeon R7 Graphics
A10-7890K,AMD A-Series Processors,Boxed Processor,,4.0,,4.1GHz,Up to 4.3GHz,256KB,4MB,,Yes,28nm,FM2+,,95W,72.40°C,DDR3,AMD Radeon R7 Graphics
A10-7870K,AMD A-Series Processors,Boxed Processor,,4.0,4.0,3.9GHz,Up to 4.1GHz,256KB,4MB,,Yes,28nm,FM2+,,95W,72.40°C,DDR3,AMD Radeon R7 Graphics
A10-7870K,AMD A-Series Processors,Boxed Processor,,4.0,,3.9GHz,Up to 4.1GHz,256KB,4MB,,Yes,28nm,FM2+,,95W,72.40°C,DDR3,AMD Radeon R7 Graphics
A10-7860K,AMD A-Series Processors,Boxed Processor,,4.0,4.0,3.6GHz,Up to 4.0GHz,256KB,4MB,,Yes,28nm,FM2+,,65W,71.30°C,DDR3,AMD Radeon R7 Graphics
A10-7860K,AMD A-Series Processors,Boxed Processor,,4.0,4.0,3.6GHz,Up to 4.0GHz,256KB,4MB,,Yes,28nm,FM2+,,65W,71.30°C,DDR3,AMD Radeon R7 Graphics
A10-7850K,AMD A-Series Processors,Boxed Processor,,4.0,4.0,3.7GHz,Up to 4.0GHz,256KB,4MB,,Yes,28nm,FM2+,,95W,72.40°C,DDR3,AMD Radeon R7 Graphics
A10-7800,AMD A-Series Processors,Boxed Processor,,4.0,4.0,3.5GHz,Up to 3.9GHz,256KB,4MB,,No,28nm,FM2+,,,71.30°C,DDR3,AMD Radeon R7 Graphics
A10-7700K,AMD A-Series Processors,Boxed Processor,,4.0,4.0,3.4GHz,Up to 3.8GHz,256KB,4MB,,Yes,28nm,FM2+,,,72.40°C,DDR3,AMD Radeon R7 Graphics
A10-6800K,AMD A-Series Processors,Boxed Processor,,4.0,4.0,4.1GHz,Up to 4.4GHz,192KB,4MB,,Yes,32nm SOI,FM2,,100W,74°C,DDR3,AMD Radeon HD 8670D
A10-6790K,AMD A-Series Processors,Boxed Processor,,4.0,4.0,4.0GHz,Up to 4.3GHz,192KB,4MB,,Yes,32nm SOI,FM2,,100W,74°C,DDR3,AMD Radeon HD 8670D
A10-6700,AMD A-Series Processors,Boxed Processor,,4.0,4.0,3.7GHz,Up to 4.3GHz,192KB,4MB,,No,32nm SOI,FM2,,65W,71.30°C,DDR3,AMD Radeon HD 8670D
EPYC-7773X,AMD EPYC,Server,,64.0,128.0,2.2GHz,Up to 3.5GHz,,,768MB,,,SP3,PCIe 4.0 x128,280W,,DDR4,nan
A10-6700T,AMD A-Series Processors,Boxed Processor,,4.0,4.0,2.5GHz,Up to 3.5GHz,192KB,4MB,,No,32nm SOI,FM2,,45W,71.30°C,DDR3,AMD Radeon HD 8650D
EPYC-7763,AMD EPYC,Server,3/15/2021,64.0,128.0,2.45GHz,Up to 3.5GHz,,,256MB,,,SP3,PCIe 4.0 x128,280W,,DDR4,nan
EPYC-7713P,AMD EPYC,Server,3/15/2021,64.0,128.0,2.0GHz,Up to 3.675GHz,,,256MB,,,SP3,PCIe 4.0 x128,225W,,DDR4,nan
EPYC-7713,AMD EPYC,Server,3/15/2021,64.0,128.0,2.0GHz,Up to 3.675GHz,,,256MB,,,SP3,PCIe 4.0 x128,225W,,DDR4,nan
EPYC-7663,AMD EPYC,Server,3/15/2021,56.0,112.0,2.0GHz,Up to 3.5GHz,,,256MB,,,SP3,PCIe 4.0 x128,240W,,DDR4,nan
EPYC-7643,AMD EPYC,Server,3/15/2021,48.0,96.0,2.3GHz,Up to 3.6GHz,,,256MB,,,SP3,PCIe 4.0 x128,225W,,DDR4,nan
EPYC-7573X,AMD EPYC,Server,,32.0,64.0,2.8GHz,Up to 3.6GHz,,,768MB,,,SP3,PCIe 4.0 x128,280W,,DDR4,nan
EPYC-75F3,AMD EPYC,Server,3/15/2021,32.0,64.0,2.95GHz,Up to 4.0GHz,,,256MB,,,SP3,PCIe 4.0 x128,280W,,DDR4,nan
EPYC-7543P,AMD EPYC,Server,3/15/2021,32.0,64.0,2.8GHz,Up to 3.7GHz,,,256MB,,,SP3,PCIe 4.0 x128,225W,,DDR4,nan
EPYC-7543,AMD EPYC,Server,3/15/2021,32.0,64.0,2.8GHz,Up to 3.7GHz,,,256MB,,,SP3,PCIe 4.0 x128,225W,,DDR4,nan
EPYC-7513,AMD EPYC,Server,3/15/2021,32.0,64.0,2.6GHz,Up to 3.65GHz,,,128MB,,,SP3,PCIe 4.0 x128,200W,,DDR4,nan
EPYC-7473X,AMD EPYC,Server,,24.0,48.0,2.8GHz,Up to 3.7GHz,,,768MB,,,SP3,PCIe 4.0 x128,240W,,DDR4,nan
EPYC-7453,AMD EPYC,Server,3/15/2021,28.0,56.0,2.75GHz,Up to 3.45GHz,,,64MB,,,SP3,PCIe 4.0 x128,225W,,DDR4,nan
EPYC-74F3,AMD EPYC,Server,3/15/2021,24.0,48.0,3.2GHz,Up to 4.0GHz,,,256MB,,,SP3,PCIe 4.0 x128,240W,,DDR4,nan
EPYC-7443P,AMD EPYC,Server,3/15/2021,24.0,48.0,2.85GHz,Up to 4.0GHz,,,128MB,,,SP3,PCIe 4.0 x128,200W,,DDR4,nan
EPYC-7443,AMD EPYC,Server,3/15/2021,24.0,48.0,2.85GHz,Up to 4.0GHz,,,128MB,,,SP3,PCIe 4.0 x128,200W,,DDR4,nan
EPYC-7413,AMD EPYC,Server,3/15/2021,24.0,48.0,2.65GHz,Up to 3.6GHz,,,128MB,,,SP3,PCIe 4.0 x128,180W,,DDR4,nan
EPYC-73F3,AMD EPYC,Server,3/15/2021,16.0,32.0,3.5GHz,Up to 4.0GHz,,,256MB,,,SP3,PCIe 4.0 x128,240W,,DDR4,nan
EPYC-7373X,AMD EPYC,Server,,16.0,32.0,3.05GHz,Up to 3.8GHz,,,768MB,,,SP3,PCIe 4.0 x128,240W,,DDR4,nan
EPYC-7343,AMD EPYC,Server,3/15/2021,16.0,32.0,3.2GHz,Up to 3.9GHz,,,128MB,,,SP3,PCIe 4.0 x128,190W,,DDR4,nan
EPYC-7313P,AMD EPYC,Server,3/15/2021,16.0,32.0,3.0GHz,Up to 3.7GHz,,,128MB,,,SP3,PCIe 4.0 x128,155W,,DDR4,nan
EPYC-7313,AMD EPYC,Server,3/15/2021,16.0,32.0,3.0GHz,Up to 3.7GHz,,,128MB,,,SP3,PCIe 4.0 x128,155W,,DDR4,nan
A8-7670K,AMD A-Series Processors,Boxed Processor,,4.0,4.0,3.6GHz,Up to 3.9GHz,256KB,4MB,,Yes,28nm,FM2+,,95W,72.40°C,DDR3,AMD Radeon R7 Graphics
EPYC-72F3,AMD EPYC,Server,3/15/2021,8.0,16.0,3.7GHz,Up to 4.1GHz,,,256MB,,,SP3,PCIe 4.0 x128,180W,,DDR4,nan
EPYC-7F72,AMD EPYC,Server,,24.0,48.0,3.2GHz,Up to 3.7GHz,,,192MB,,,SP3,PCIe 4.0 x128,240W,,DDR4,nan
EPYC-7F52,AMD EPYC,Server,,16.0,32.0,3.5GHz,Up to 3.9GHz,,,256MB,,,SP3,PCIe 4.0 x128,240W,,DDR4,nan
A8-7650K,AMD A-Series Processors,Boxed Processor,,4.0,4.0,3.3GHz,Up to 3.8GHz,256KB,4MB,,Yes,28nm,FM2+,,95W,72.40°C,DDR3,AMD Radeon R7 Graphics
EPYC-7F32,AMD EPYC,Server,,8.0,16.0,3.7GHz,Up to 3.9GHz,,,128MB,,,SP3,PCIe 4.0 x128,180W,,DDR4,nan
EPYC-7H12,AMD EPYC,Server,,64.0,128.0,2.6GHz,Up to 3.3GHz,,,256MB,,,SP3,PCIe 4.0 x128,280W,,DDR4,nan
A8-7650K,AMD A-Series Processors,Boxed Processor,,4.0,4.0,3.3GHz,Up to 3.8GHz,256KB,4MB,,Yes,28nm,FM2+,,95W,72.40°C,DDR3,AMD Radeon R7 Graphics
EPYC-7742,AMD EPYC,Server,,64.0,128.0,2.25GHz,Up to 3.4GHz,,,256MB,,,SP3,PCIe 4.0 x128,225W,,DDR4,nan
A8-7600,AMD A-Series Processors,Boxed Processor,,4.0,4.0,3.1GHz,Up to 3.8GHz,256KB,4MB,,No,28nm,FM2+,,65W,71.30°C,DDR3,AMD Radeon R7 Graphics
EPYC-7702,AMD EPYC,Server,,64.0,128.0,2.0GHz,Up to 3.35GHz,,,256MB,,,SP3,PCIe 4.0 x128,200W,,DDR4,nan
A8-6600K,AMD A-Series Processors,Boxed Processor,,4.0,4.0,3.9GHz,Up to 4.2GHz,192KB,4MB,,Yes,32nm SOI,FM2,,65W,74°C,DDR3,AMD Radeon HD 8570D
EPYC-7702P,AMD EPYC,Server,,64.0,128.0,2.0GHz,Up to 3.35GHz,,,256MB,,,SP3,PCIe 4.0 x128,200W,,DDR4,nan
EPYC-7662,AMD EPYC,Server,,64.0,128.0,2.0GHz,Up to 3.3GHz,,,256MB,,,SP3,PCIe 4.0 x128,225W,,DDR4,nan
A8-6500,AMD A-Series Processors,Boxed Processor,,4.0,4.0,3.5GHz,Up to 4.1GHz,192KB,4MB,,No,32nm SOI,FM2,,65W,71.30°C,DDR3,AMD Radeon HD 8570D
EPYC-7642,AMD EPYC,Server,,48.0,96.0,2.3GHz,Up to 3.3GHz,,,256MB,,,SP3,PCIe 4.0 x128,225W,,DDR4,nan
EPYC-7552,AMD EPYC,Server,,48.0,96.0,2.2GHz,Up to 3.3GHz,,,192MB,,,SP3,PCIe 4.0 x128,200W,,DDR4,nan
A8-6500T,AMD A-Series Processors,Boxed Processor,,4.0,4.0,2.1GHz,Up to 3.1GHz,192KB,4MB,,No,32nm SOI,FM2,,45W,71.30°C,DDR3,AMD Radeon HD 8550D
EPYC-7542,AMD EPYC,Server,,32.0,64.0,2.9GHz,Up to 3.4GHz,,,128MB,,,SP3,PCIe 4.0 x128,225W,,DDR4,nan
EPYC-7532,AMD EPYC,Server,,32.0,64.0,2.4GHz,Up to 3.3GHz,,,256MB,,,SP3,PCIe 4.0 x128,200W,,DDR4,nan
EPYC-7502,AMD EPYC,Server,,32.0,64.0,2.5GHz,Up to 3.35GHz,,,128MB,,,SP3,PCIe 4.0 x128,180W,,DDR4,nan
EPYC-7502P,AMD EPYC,Server,,32.0,64.0,2.5GHz,Up to 3.35GHz,,,128MB,,,SP3,PCIe 4.0 x128,180W,,DDR4,nan
EPYC-7452,AMD EPYC,Server,,32.0,64.0,2.35GHz,Up to 3.35GHz,,,128MB,,,SP3,PCIe 4.0 x128,155W,,DDR4,nan
EPYC-7402,AMD EPYC,Server,,24.0,48.0,2.8GHz,Up to 3.35GHz,,,128MB,,,SP3,PCIe 4.0 x128,180W,,DDR4,nan
EPYC-7402P,AMD EPYC,Server,,24.0,48.0,2.8GHz,Up to 3.35GHz,,,128MB,,,SP3,PCIe 4.0 x128,180W,,DDR4,nan
A6-7470K,AMD A-Series Processors,Boxed Processor,,2.0,,3.7GHz,Up to 4.0GHz,256KB,1MB,,Yes,28nm,FM2+,,65W,71.30°C,DDR3,AMD Radeon R5 Graphics
EPYC-7352,AMD EPYC,Server,,24.0,48.0,2.3GHz,Up to 3.2GHz,,,128MB,,,SP3,PCIe 4.0 x128,155W,,DDR4,nan
EPYC-7302,AMD EPYC,Server,,16.0,32.0,3.0GHz,Up to 3.3GHz,,,128MB,,,SP3,PCIe 4.0 x128,155W,,DDR4,nan
A6-7400K,AMD A-Series Processors,Boxed Processor,,2.0,2.0,3.5GHz,Up to 3.9GHz,128KB,1MB,,Yes,28nm,FM2+,,65W,70°C,DDR3,AMD Radeon R5 Graphics
A6-6420K,AMD A-Series Processors,Boxed Processor,,2.0,2.0,4.0GHz,Up to 4.2GHz,96KB,1MB,,Yes,32nm SOI,FM2,,65W,70°C,DDR3,AMD Radeon HD 8470D
EPYC-7302P,AMD EPYC,Server,,16.0,32.0,3.0GHz,Up to 3.3GHz,,,128MB,,,SP3,PCIe 4.0 x128,155W,,DDR4,nan
EPYC-7282,AMD EPYC,Server,,16.0,32.0,2.8GHz,Up to 3.2GHz,,,64MB,,,SP3,PCIe 4.0 x128,120W,,DDR4,nan
A6-6310,AMD A-Series Processors,Desktop,,4.0,4.0,1.8GHz,Up to 2.4GHz,128KB,2MB,,No,28nm,FT3b,,15/25W,90°C,DDR3,AMD Radeon R4 Series
EPYC-7272,AMD EPYC,Server,,12.0,24.0,2.9GHz,Up to 3.2GHz,,,64MB,,,SP3,PCIe 4.0 x128,120W,,DDR4,nan
A6-6400K,AMD A-Series Processors,Boxed Processor,,2.0,2.0,3.9GHz,Up to 4.1GHz,96KB,1MB,,Yes,32nm SOI,FM2,,65W,70°C,DDR3,AMD Radeon HD 8470D
EPYC-7262,AMD EPYC,Server,,8.0,16.0,3.2GHz,Up to 3.4GHz,,,128MB,,,SP3,x128,155W,,DDR4,nan
A6-5200,AMD A-Series Processors,Desktop,,4.0,4.0,2.0GHz,,256KB,2MB,,No,28nm,FT3,,25W,90°C,DDR3,AMD Radeon HD 8400
EPYC-7252,AMD EPYC,Server,,8.0,16.0,3.1GHz,Up to 3.2GHz,,,64MB,,,SP3,PCIe 4.0 x128,120W,,DDR4,nan
EPYC-7232P,AMD EPYC,Server,,8.0,16.0,3.1GHz,Up to 3.2GHz,,,32MB,,,SP3,PCIe 4.0 x128,120W,,DDR4,nan
EPYC-7601,AMD EPYC,Server,,32.0,64.0,2.2GHz,Up to 3.2GHz,,,64MB,,,SP3,PCIe 3.0 x128,180W,,DDR4,nan
EPYC-7551P,AMD EPYC,Server,,32.0,64.0,2.0GHz,Up to 3.0GHz,,,64MB,,,SP3,PCIe 3.0 x128,180W,,DDR4,nan
EPYC-7551,AMD EPYC,Server,,32.0,64.0,2.0GHz,Up to 3.0GHz,,,64MB,,,SP3,PCIe 3.0 x128,180W,,DDR4,nan
EPYC-7501,AMD EPYC,Server,,32.0,64.0,2.0GHz,Up to 3.0GHz,,,64MB,,,SP3,PCIe 3.0 x128,155/170W,,DDR4,nan
EPYC-7451,AMD EPYC,Server,,24.0,48.0,2.3GHz,Up to 3.2GHz,,,64MB,,,SP3,PCIe 3.0 x128,180W,,DDR4,nan
A4-7300,AMD A-Series Processors,Desktop,,2.0,2.0,3.8GHz,Up to 4.0GHz,96KB,1MB,,No,32nm SOI,FM2,,65W,70°C,DDR3,AMD Radeon HD 8470D
EPYC-7401P,AMD EPYC,Server,,24.0,48.0,2.0GHz,Up to 3.0GHz,,,64MB,,,SP3,PCIe 3.0 x128,155/170W,,DDR4,nan
A4-6320,AMD A-Series Processors,Boxed Processor,,2.0,2.0,3.8GHz,Up to 4.0GHz,96KB,1MB,,No,32nm SOI,FM2,,65W,70°C,DDR3,AMD Radeon HD 8370D
EPYC-7401,AMD EPYC,Server,,24.0,48.0,2.0GHz,Up to 3.0GHz,,,64MB,,,SP3,PCIe 3.0 x128,155/170W,,DDR4,nan
A4-6300,AMD A-Series Processors,Boxed Processor,,2.0,2.0,3.7GHz,Up to 3.9GHz,96KB,1MB,,No,32nm SOI,FM2,,65W,70°C,DDR3,AMD Radeon HD 8370D
EPYC-7371,AMD EPYC,Server,,16.0,32.0,3.1GHz,Up to 3.8GHz,,,64MB,,,SP3,PCIe 3.0 x128,200W,,DDR4,nan
EPYC-7351P,AMD EPYC,Server,,16.0,32.0,2.4GHz,Up to 2.9GHz,,,64MB,,,SP3,PCIe 3.0 x128,155/170W,,DDR4,nan
EPYC-7351,AMD EPYC,Server,,16.0,32.0,2.4GHz,Up to 2.9GHz,,,64MB,,,SP3,PCIe 3.0 x128,155/170W,,DDR4,nan
A4-5100,AMD A-Series Processors,Desktop,,4.0,4.0,1.55GHz,,256KB,2MB,,No,28nm,FT3,,15W,90°C,DDR3,AMD Radeon HD 8330
EPYC-7301,AMD EPYC,Server,,16.0,32.0,2.2GHz,Up to 2.7GHz,,,64MB,,,SP3,PCIe 3.0 x128,155/170W,,DDR4,nan
EPYC-7281,AMD EPYC,Server,,16.0,32.0,2.1GHz,Up to 2.7GHz,,,32MB,,,SP3,PCIe 3.0 x128,155/170W,,DDR4,nan
A4-5000,AMD A-Series Processors,Desktop,,4.0,4.0,1.5GHz,,256KB,2MB,,No,28nm,FT3,,15W,90°C,DDR3,AMD Radeon HD 8330
EPYC-7261,AMD EPYC,Server,,8.0,16.0,2.5GHz,Up to 2.9GHz,,,64MB,,,SP3,,155/170W,,DDR4,nan
EPYC-7251,AMD EPYC,Server,,8.0,16.0,2.1GHz,Up to 2.9GHz,,,32MB,,,SP3,PCIe 3.0 x128,120W,,DDR4,nan
FX-9590,AMD FX-Series Processors,Boxed Processor,,8.0,8.0,4.7GHz,Up to 5.0GHz,384KB,8MB,8MB,Yes,32nm SOI,AM3+,,220W,57°C,DDR3,Discrete Graphics Card Required
FX-9370,AMD FX-Series Processors,Boxed Processor,,8.0,8.0,4.4GHz,Up to 4.7GHz,384KB,8MB,8MB,Yes,32nm SOI,AM3+,,220W,57°C,DDR3,Discrete Graphics Card Required
FX-8370,AMD FX-Series Processors,Boxed Processor,,8.0,8.0,4.0GHz,Up to 4.3GHz,384KB,8MB,8MB,Yes,32nm SOI,AM3+,,125W,61.10°C,DDR3,Discrete Graphics Card Required
FX-8370E,AMD FX-Series Processors,Boxed Processor,,8.0,8.0,3.3GHz,Up to 4.3GHz,384KB,8MB,8MB,Yes,32nm SOI,AM3+,,95W,70.50°C,DDR3,Discrete Graphics Card Required
A10-7400P,AMD A-Series Processors,Laptop,,4.0,4.0,2.5GHz,Up to 3.4GHz,,4MB,,No,28nm,FP3,,35W,,DDR3/DDR3L,AMD Radeon R6 Graphics
FX-8370,AMD FX-Series Processors,Boxed Processor,,8.0,8.0,4.0GHz,Up to 4.3GHz,384KB,8MB,8MB,Yes,32nm SOI,AM3+,,125W,61.10°C,DDR3,Discrete Graphics Card Required
A10-7300,AMD A-Series Processors,Laptop,,4.0,4.0,1.9GHz,Up to 3.2GHz,,4MB,,No,28nm,FP3,,20W,,Not Listed,AMD Radeon R6 Graphics
FX-8350,AMD FX-Series Processors,Boxed Processor,,8.0,8.0,4.0GHz,Up to 4.2GHz,384KB,8MB,8MB,Yes,32nm SOI,AM3+,,125W,61°C,DDR3,Discrete Graphics Card Required
FX-8350,AMD FX-Series Processors,Boxed Processor,,8.0,8.0,4.0GHz,Up to 4.2GHz,384KB,8MB,8MB,Yes,32nm SOI,AM3+,,125W,61°C,DDR3,Discrete Graphics Card Required
A10-Micro-6700T,AMD A-Series Processors,"Laptop, Tablet",,4.0,4.0,2.2GHz,,,2MB,,No,28nm,FT3b,,4.5W,,DDR3L,AMD Radeon R6 Graphics
FX-8320E,AMD FX-Series Processors,Boxed Processor,,8.0,8.0,3.2GHz,Up to 4.0GHz,384KB,8MB,8MB,Yes,32nm SOI,AM3+,,95W,70.50°C,DDR3,Discrete Graphics Card Required
FX-8320,AMD FX-Series Processors,Boxed Processor,,8.0,8.0,3.5GHz,Up to 4.0GHz,384KB,8MB,8MB,Yes,32nm SOI,AM3+,,125W,61.10°C,DDR3,Discrete Graphics Card Required
FX-8310,AMD FX-Series Processors,Boxed Processor,,8.0,8.0,3.4GHz,Up to 4.3GHz,,8MB,,Yes,32nm,AM3+,,95W,70.50°C,Not Listed,Discrete Graphics Card Required
